tag,prob_est,S_hat,error,status
111,0.724,"[77.0742, 35.5409, 47.6586, 0.6288]",1.46%,PASS
100,1.0,"[86.8360, 0.0000, 0.0000, 0.6312]",1.65%,PASS
101,0.114,"[86.5793, 0.0000, 43.3657, 0.6292]",1.70%,PASS
101,0.174,"[85.9038, 0.0000, 63.5698, 0.6326]",1.82%,PASS
101,0.173,"[81.2978, 0.0000, 74.2720, 0.6339]",2.01%,PASS
110,0.209,"[68.3865, 86.1806, 0.0000, 0.6316]",2.09%,PASS
101,0.162,"[87.1748, 0.0000, 30.4091, 0.6260]",2.25%,PASS
011,0.495,"[0.0000, 85.2195, 87.0060, 0.6285]",2.47%,PASS
110,0.25,"[85.7901, 76.4777, 0.0000, 0.6359]",2.78%,PASS
101,0.216,"[72.4794, 0.0000, 80.6289, 0.6369]",2.84%,PASS
111,0.276,"[42.1504, 77.1816, 65.1377, 0.6355]",3.30%,PASS
101,0.113,"[50.9605, 0.0000, 84.6845, 0.6384]",3.52%,PASS
