tag,prob_est,S_hat,error,status
101,0.108,"[81.9587, 0.0000, 74.2546, 0.5029]",1.88%,PASS
001,1.0,"[0.0000, 0.0000, 87.2084, 0.5032]",2.05%,PASS
111,0.129,"[76.2507, 68.8655, 65.6631, 0.5062]",2.68%,PASS
111,0.452,"[55.4137, 47.5353, 68.3474, 0.5082]",2.86%,PASS
111,0.179,"[72.5042, 27.6865, 70.0981, 0.5095]",3.27%,PASS
011,0.122,"[0.0000, 89.4288, 50.5949, 0.5090]",3.37%,PASS
111,0.24,"[74.4552, 59.3852, 47.6601, 0.5062]",3.37%,PASS
110,0.272,"[87.5692, 86.5641, 0.0000, 0.5101]",3.63%,PASS
011,0.172,"[0.0000, 71.5652, 88.7818, 0.5147]",5.65%,PASS
011,0.402,"[0.0000, 81.6957, 84.3907, 0.5161]",6.34%,PASS
