tag,prob_est,S_hat,error,status
101,0.18,"[67.2535, 0.0000, 83.9137, 0.8492]",0.54%,PASS
111,0.174,"[69.9423, 44.8326, 52.5047, 0.8483]",0.57%,PASS
110,0.128,"[89.0085, 54.5704, 0.0000, 0.8484]",0.63%,PASS
100,1.0,"[87.5535, 0.0000, 0.0000, 0.8485]",0.63%,PASS
101,0.107,"[42.2684, 0.0000, 86.8642, 0.8482]",0.64%,PASS
111,0.153,"[74.4389, 47.0438, 76.0271, 0.8488]",0.70%,PASS
101,0.305,"[79.6940, 0.0000, 77.9365, 0.8481]",0.74%,PASS
110,0.118,"[88.0542, 62.3424, 0.0000, 0.8478]",0.77%,PASS
111,0.188,"[73.4807, 56.2047, 41.0526, 0.8475]",0.88%,PASS
101,0.158,"[86.8454, 0.0000, 52.0313, 0.8459]",1.13%,PASS
110,0.147,"[57.5334, 88.1653, 0.0000, 0.8460]",1.16%,PASS
111,0.277,"[52.7369, 63.9461, 64.8366, 0.8458]",1.30%,PASS
111,0.13,"[62.9634, 60.1839, 53.2595, 0.8447]",1.46%,PASS
101,0.168,"[87.3373, 0.0000, 36.3596, 0.8441]",1.58%,PASS
110,0.298,"[81.8175, 80.6137, 0.0000, 0.8447]",1.60%,PASS
011,0.39,"[0.0000, 88.3583, 82.4625, 0.8388]",3.17%,PASS
