tag,prob_est,S_hat,error,status
111,0.331,"[28.5521, 72.8428, 68.1644, 0.5046]",1.65%,PASS
011,0.16,"[0.0000, 82.1636, 74.4270, 0.5017]",2.26%,PASS
010,1.0,"[0.0000, 86.6307, 0.0000, 0.5027]",2.27%,PASS
110,0.206,"[79.2151, 88.7935, 0.0000, 0.5050]",2.65%,PASS
110,0.213,"[83.8674, 82.2683, 0.0000, 0.5042]",2.78%,PASS
011,0.146,"[0.0000, 77.9722, 79.2666, 0.4998]",2.98%,PASS
001,1.0,"[0.0000, 0.0000, 88.1767, 0.5034]",3.01%,PASS
101,0.29,"[87.8663, 0.0000, 86.4895, 0.5027]",3.04%,PASS
111,0.151,"[47.1480, 65.8129, 55.8923, 0.5087]",3.05%,PASS
111,0.226,"[57.8010, 70.3371, 45.9266, 0.5084]",3.55%,PASS
