tag,prob_est,S_hat,error,status
110,0.182,"[41.7741, 88.6851, 0.0000, 0.6581]",1.06%,PASS
010,1.0,"[0.0000, 88.2548, 0.0000, 0.6602]",1.07%,PASS
110,0.138,"[61.5458, 89.4825, 0.0000, 0.6599]",1.12%,PASS
011,0.193,"[0.0000, 65.1107, 86.0870, 0.6585]",1.17%,PASS
111,0.138,"[72.2078, 55.9464, 77.4631, 0.6604]",1.31%,PASS
011,0.113,"[0.0000, 88.0813, 28.7103, 0.6615]",1.38%,PASS
111,0.232,"[65.8797, 71.8776, 42.3590, 0.6614]",1.38%,PASS
110,0.338,"[80.7912, 82.1606, 0.0000, 0.6573]",1.45%,PASS
111,0.113,"[56.1479, 68.2579, 53.7907, 0.6623]",1.57%,PASS
101,0.325,"[85.2221, 0.0000, 85.7268, 0.6627]",1.71%,PASS
110,0.113,"[87.0985, 43.0994, 0.0000, 0.6555]",1.86%,PASS
001,1.0,"[0.0000, 0.0000, 89.9810, 0.6624]",1.87%,PASS
110,0.134,"[86.7121, 53.5699, 0.0000, 0.6556]",1.87%,PASS
111,0.324,"[43.7297, 75.5646, 60.0759, 0.6637]",1.96%,PASS
011,0.147,"[0.0000, 87.7174, 53.0276, 0.6545]",2.04%,PASS
011,0.147,"[0.0000, 87.0647, 63.4653, 0.6538]",2.38%,PASS
011,0.306,"[0.0000, 79.8493, 80.3269, 0.6502]",3.67%,PASS
