tag,prob_est,S_hat,error,status
110,0.197,"[85.4092, 67.1373, 0.0000, 0.5052]",1.73%,PASS
110,0.119,"[57.5782, 84.9497, 0.0000, 0.5064]",1.90%,PASS
100,1.0,"[86.9905, 0.0000, 0.0000, 0.5039]",2.03%,PASS
111,0.204,"[59.2550, 71.2379, 41.7200, 0.5047]",2.03%,PASS
110,0.203,"[80.6201, 78.3624, 0.0000, 0.5072]",2.09%,PASS
110,0.114,"[86.5163, 47.7405, 0.0000, 0.5014]",2.36%,PASS
111,0.286,"[75.5822, 53.7774, 37.9787, 0.5077]",2.58%,PASS
111,0.159,"[74.2206, 49.5929, 72.2029, 0.5044]",2.66%,PASS
101,0.209,"[86.6870, 0.0000, 76.6735, 0.5028]",2.97%,PASS
110,0.119,"[86.5591, 34.4436, 0.0000, 0.4996]",3.00%,PASS
111,0.225,"[55.2827, 65.9627, 55.9492, 0.5067]",3.02%,PASS
101,0.203,"[76.0711, 0.0000, 82.3560, 0.5065]",3.25%,PASS
111,0.1,"[77.5613, 34.0210, 62.5089, 0.5069]",3.42%,PASS
010,1.0,"[0.0000, 88.1694, 0.0000, 0.5093]",3.94%,PASS
101,0.168,"[53.1316, 0.0000, 87.0845, 0.5113]",4.49%,PASS
011,0.36,"[0.0000, 84.0056, 86.0301, 0.5140]",5.38%,PASS
