tag,prob_est,S_hat,error,status
010,1.0,"[0.0000, 86.5187, 0.0000, 0.6302]",1.64%,PASS
111,0.244,"[63.6859, 72.3998, 34.9730, 0.6322]",1.73%,PASS
110,0.149,"[58.3866, 86.8364, 0.0000, 0.6301]",1.75%,PASS
110,0.107,"[48.3609, 86.8134, 0.0000, 0.6288]",1.80%,PASS
110,0.197,"[77.0871, 80.7424, 0.0000, 0.6281]",2.08%,PASS
111,0.375,"[51.0668, 76.5050, 42.6622, 0.6340]",2.10%,PASS
110,0.168,"[80.5464, 75.1352, 0.0000, 0.6277]",2.18%,PASS
101,0.346,"[89.8210, 0.0000, 84.9914, 0.6329]",2.21%,PASS
111,0.32,"[71.6750, 53.4955, 66.4032, 0.6304]",2.33%,PASS
110,0.106,"[83.3809, 54.3549, 0.0000, 0.6274]",2.40%,PASS
110,0.109,"[84.1258, 44.9284, 0.0000, 0.6276]",2.43%,PASS
110,0.164,"[37.1812, 86.3347, 0.0000, 0.6255]",2.44%,PASS
100,1.0,"[89.1879, 0.0000, 0.0000, 0.6330]",2.50%,PASS
011,0.183,"[0.0000, 68.2856, 84.9916, 0.6268]",2.72%,PASS
011,0.134,"[0.0000, 87.6537, 63.2743, 0.6259]",2.86%,PASS
011,0.276,"[0.0000, 81.1417, 79.0411, 0.6220]",4.16%,PASS
