tag,prob_est,S_hat,error,status
110,0.147,"[36.6578, 87.2597, 0.0000, 0.8497]",0.47%,PASS
111,0.272,"[59.9187, 66.4738, 41.3627, 0.8489]",0.50%,PASS
110,0.161,"[84.0593, 67.8678, 0.0000, 0.8486]",0.63%,PASS
111,0.112,"[77.4671, 64.4614, 57.5110, 0.8490]",0.67%,PASS
111,0.354,"[45.5081, 67.9513, 57.2804, 0.8480]",0.70%,PASS
101,0.188,"[70.7839, 0.0000, 89.4491, 0.8485]",0.71%,PASS
111,0.151,"[70.2102, 45.1282, 72.6931, 0.8510]",0.72%,PASS
010,1.0,"[0.0000, 87.1009, 0.0000, 0.8481]",0.73%,PASS
100,1.0,"[89.5109, 0.0000, 0.0000, 0.8467]",1.00%,PASS
110,0.14,"[61.1755, 86.5559, 0.0000, 0.8463]",1.09%,PASS
101,0.34,"[84.7378, 0.0000, 83.7047, 0.8462]",1.26%,PASS
110,0.177,"[74.8062, 82.7231, 0.0000, 0.8457]",1.30%,PASS
011,0.116,"[0.0000, 88.2721, 65.0180, 0.8450]",1.45%,PASS
011,0.112,"[0.0000, 64.8733, 87.1832, 0.8449]",1.49%,PASS
011,0.275,"[0.0000, 82.3805, 80.0380, 0.8447]",1.61%,PASS
011,0.119,"[0.0000, 88.8887, 50.7228, 0.8433]",1.82%,PASS
