tag,prob_est,S_hat,error,status
011,0.103,"[0.0000, 57.7328, 85.1396, 0.5047]",1.66%,PASS
011,0.12,"[0.0000, 79.0464, 79.0479, 0.5044]",1.67%,PASS
111,0.447,"[29.5955, 63.6171, 71.0472, 0.5026]",1.86%,PASS
011,0.15,"[0.0000, 73.7446, 82.2492, 0.5026]",1.97%,PASS
011,0.137,"[0.0000, 82.3192, 74.0537, 0.5070]",2.00%,PASS
001,1.0,"[0.0000, 0.0000, 87.0612, 0.5023]",2.23%,PASS
101,0.163,"[65.8602, 0.0000, 89.4254, 0.5035]",2.75%,PASS
010,1.0,"[0.0000, 87.8569, 0.0000, 0.5052]",3.14%,PASS
111,0.273,"[56.8482, 63.2699, 52.1573, 0.5058]",3.14%,PASS
101,0.281,"[83.0828, 0.0000, 83.8098, 0.5005]",3.54%,PASS
111,0.128,"[69.4237, 31.8068, 71.5539, 0.5094]",4.42%,PASS
