tag,prob_est,S_hat,error,status
111,0.116,"[51.0736, 50.2579, 63.5136, 0.8489]",0.41%,PASS
101,0.241,"[60.0802, 0.0000, 88.4939, 0.8491]",0.58%,PASS
101,0.107,"[87.1321, 0.0000, 59.6945, 0.8500]",0.59%,PASS
101,0.102,"[88.2191, 0.0000, 44.0537, 0.8484]",0.66%,PASS
101,0.322,"[79.3903, 0.0000, 80.9457, 0.8492]",0.66%,PASS
001,1.0,"[0.0000, 0.0000, 86.6204, 0.8511]",0.68%,PASS
111,0.123,"[68.3020, 34.0396, 71.0360, 0.8515]",0.73%,PASS
111,0.359,"[39.4906, 59.5040, 68.0951, 0.8478]",0.74%,PASS
111,0.201,"[63.0809, 61.6723, 47.9490, 0.8498]",0.74%,PASS
011,0.104,"[0.0000, 28.5761, 88.3090, 0.8470]",0.89%,PASS
011,0.154,"[0.0000, 86.4942, 62.3800, 0.8467]",0.98%,PASS
011,0.196,"[0.0000, 71.0122, 84.4051, 0.8468]",1.02%,PASS
011,0.234,"[0.0000, 82.3339, 78.0062, 0.8467]",1.06%,PASS
110,0.146,"[89.7515, 73.2300, 0.0000, 0.8467]",1.08%,PASS
101,0.113,"[32.8824, 0.0000, 89.9596, 0.8459]",1.14%,PASS
010,1.0,"[0.0000, 89.1710, 0.0000, 0.8461]",1.15%,PASS
011,0.169,"[0.0000, 52.2660, 88.0587, 0.8443]",1.54%,PASS
110,0.235,"[83.4021, 87.3657, 0.0000, 0.8437]",1.85%,PASS
